"Columbia, SC",SC,288033.0
"Richmond, KY",KY,288033.0
"Morgantown, WV",WV,287667.0
"Lewisburg, PA",PA,287447.0
"Longview, TX",TX,286833.0
"Carlsbad, NM",NM,286833.0
"Henderson, NC",NC,286133.0
"Baton Rouge, LA",LA,285450.0
"Sulphur Springs, TX",TX,285417.0
"San Angelo, TX",TX,285333.0
"Lebanon, PA",PA,285300.0
"Corsicana, TX",TX,285000.0
"Birmingham, AL",AL,284617.0
"Jefferson City, MO",MO,284617.0
"Grand Island, NE",NE,283967.0
"Branson, MO",MO,283783.0
"Kearney, NE",NE,283167.0
"Ames, IA",IA,283133.0
"Pella, IA",IA,282650.0
"Abilene, TX",TX,282583.0
"Ruston, LA",LA,282500.0
"Natchitoches, LA",LA,282333.0
"Owatonna, MN",MN,282200.0
"Bangor, ME",ME,281000.0
"Kalamazoo, MI",MI,280467.0
"Cordele, GA",GA,280333.0
"Louisville, KY",KY,279833.0
"Kingsport, TN",TN,279633.0
"Dubuque, IA",IA,278967.0
"Plymouth, IN",IN,278833.0
"Calhoun, GA",GA,278086.0
"Lafayette, IN",IN,277967.0
"Rock Springs, WY",WY,277500.0
"Alamogordo, NM",NM,277167.0
"Grand Rapids, MN",MN,277033.0
"Winona, MN",MN,276517.0
"Duluth, MN",MN,276267.0
"Augusta, GA",GA,276250.0
"Palatka, FL",FL,275617.0
"Stillwater, OK",OK,275523.0
"Bainbridge, GA",GA,274967.0
"Fremont, NE",NE,274917.0
"Dublin, GA",GA,274633.0
"Paris, TN",TN,274617.0
"Stevens Point, WI",WI,274200.0
"Jackson, TN",TN,274000.0
"Memphis, TN",TN,273267.0
"Lebanon, MO",MO,273267.0
"Sandusky, OH",OH,273133.0
"Douglas, GA",GA,272950.0
"Greenville, NC",NC,272650.0
"Fond du Lac, WI",WI,271600.0
"Paris, TX",TX,271583.0
"York, PA",PA,271567.0
"Palestine, TX",TX,271333.0
"Nacogdoches, TX",TX,271283.0
"Hinesville, GA",GA,271050.0
"Worthington, MN",MN,270017.0
"Reading, PA",PA,269967.0
"Fort Wayne, IN",IN,269933.0
"Toccoa, GA",GA,269833.0
"North Wilkesboro, NC",NC,269300.0
"Sterling, CO",CO,269083.0
"Racine, WI",WI,268267.0
"Hutchinson, MN",MN,268267.0
"Tuscaloosa, AL",AL,268250.0
"Warner Robins, GA",GA,268083.0
"Dodge City, KS",KS,267983.0
"Andrews, TX",TX,267367.0
"Berlin, NH",NH,266483.0
"Hickory, NC",NC,266267.0
"Elkins, WV",WV,266167.0
"Victoria, TX",TX,266039.0
"Frankfort, KY",KY,265817.0
"Fayetteville, NC",NC,265416.0
"Rome, GA",GA,264966.0
"Florence, AL",AL,264900.0
"Janesville, WI",WI,264600.0
"Amarillo, TX",TX,264133.0
"Midland, MI",MI,263967.0
"Jesup, GA",GA,263933.0
"Monroe, MI",MI,263417.0
"Cedartown, GA",GA,263283.0
"Sioux City, IA",IA,263000.0
"Somerset, KY",KY,262950.0
"Menomonie, WI",WI,262633.0
"Campbellsville, KY",KY,262600.0
"Wausau, WI",WI,262297.0
"Dickinson, ND",ND,262150.0
"Sheboygan, WI",WI,261933.0
"Oshkosh, WI",WI,261600.0
"Vidalia, GA",GA,260817.0
"Wooster, OH",OH,260667.0
"Michigan City, IN",IN,260667.0
"Cambridge, MD",MD,259945.0
"Martin, TN",TN,258617.0
"Harrisburg, PA",PA,258083.0
"Lufkin, TX",TX,258083.0
"Hammond, LA",LA,258033.0
"Del Rio, TX",TX,257817.0
"Coldwater, MI",MI,257067.0
"Sumter, SC",SC,256667.0
"Scottsboro, AL",AL,256608.0
"Grand Forks, ND",MN,256600.0
"Valdosta, GA",GA,256567.0
"Tifton, GA",GA,256133.0
"Elkhart, IN",IN,254833.0
"Jonesboro, AR",AR,254133.0
"Eagle Pass, TX",TX,254133.0
"Lubbock, TX",TX,253992.0
"El Campo, TX",TX,253500.0
"Rolla, MO",MO,253450.0
"Little Rock, AR",AR,253300.0
"Marquette, MI",MI,252967.0
"Jasper, AL",AL,252750.0
"Brownwood, TX",TX,252732.0
"Odessa, TX",TX,252697.0
"Topeka, KS",KS,251600.0
"Okeechobee, FL",FL,251600.0
"Sebring, FL",FL,250597.0
"Shawano, WI",WI,250567.0
"Wichita, KS",KS,249967.0
"Hattiesburg, MS",MS,249667.0
"Oneonta, NY",NY,249667.0
"McAllen, TX",TX,249383.0
"Manhattan, KS",KS,249317.0
"Danville, KY",KY,249300.0
"Gallup, NM",NM,248500.0
"Picayune, MS",MS,248483.0
"Tahlequah, OK",OK,248400.0
"Lafayette, LA",LA,248300.0
"Fort Smith, AR",AR,248133.0
"Findlay, OH",OH,248100.0
"Shawnee, OK",OK,247983.0
"Plattsburgh, NY",NY,247967.0
"Big Rapids, MI",MI,247467.0
"Chillicothe, OH",OH,247433.0
"Ada, OK",OK,245667.0
"Sedalia, MO",MO,245267.0
"LaGrange, GA",GA,244950.0
"Norfolk, NE",NE,244942.0
"Buffalo, NY",NY,244883.0
"Ashland, OH",OH,244767.0
"Marion, NC",NC,244617.0
"Mountain Home, AR",AR,244600.0
"Mount Airy, NC",NC,244483.0
"Goldsboro, NC",NC,244450.0
"West Plains, MO",MO,244150.0
"Gulfport, MS",MS,244050.0
"Detroit, MI",MI,243817.0
"Greensburg, IN",IN,243650.0
"Laredo, TX",TX,243467.0
"Joplin, MO",MO,243300.0
